epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0233,0.95335,0.93522,1.14878,0.99496,1,0.995,0.87757,0.63197,0.80293,1.00936,0.000462724,0.000462724,0.000462724
2,58.645,0.72521,0.89467,1.02853,0.99553,1,0.995,0.88032,0.50637,0.7061,0.88923,0.000892574,0.000892574,0.000892574
3,87.7305,0.64881,0.81861,0.9695,0.86925,1,0.995,0.90535,0.49081,0.897,0.88874,0.00127527,0.00127527,0.00127527
4,116.771,0.61653,0.76775,0.97265,0.99503,1,0.995,0.90034,0.56993,0.66074,0.8803,0.00121679,0.00121679,0.00121679
5,146.259,0.54312,0.7021,0.92642,0.97631,1,0.995,0.9189,0.46372,0.71275,0.83111,0.00114606,0.00114606,0.00114606
6,176.063,0.55164,0.69259,0.93027,0.99535,1,0.995,0.93368,0.38081,0.5698,0.8286,0.00107532,0.00107532,0.00107532
7,205.674,0.48141,0.63992,0.89892,0.99457,1,0.995,0.97008,0.30881,0.5538,0.81353,0.00100459,0.00100459,0.00100459
8,235.028,0.46462,0.62144,0.8986,0.99615,1,0.995,0.94953,0.33667,0.53187,0.81603,0.000933851,0.000933851,0.000933851
9,264.55,0.4188,0.58584,0.87984,0.99653,1,0.995,0.96377,0.3189,0.47857,0.82466,0.000863116,0.000863116,0.000863116
10,294.659,0.39694,0.55966,0.87861,0.9967,1,0.995,0.9585,0.29102,0.48951,0.8233,0.00079238,0.00079238,0.00079238
11,324.216,0.31859,0.63256,0.83207,0.99501,1,0.995,0.95659,0.32357,0.54779,0.83242,0.000721645,0.000721645,0.000721645
12,353.788,0.30603,0.61282,0.82534,0.99679,1,0.995,0.995,0.20055,0.39532,0.8018,0.000650909,0.000650909,0.000650909
13,382.164,0.28458,0.54997,0.82372,0.99714,1,0.995,0.96063,0.27338,0.41312,0.82057,0.000580174,0.000580174,0.000580174
14,411.556,0.26971,0.52717,0.81365,0.99621,1,0.995,0.96132,0.23808,0.3959,0.81155,0.000509438,0.000509438,0.000509438
15,440.99,0.23977,0.50543,0.79152,0.99623,1,0.995,0.995,0.20239,0.39608,0.80761,0.000438703,0.000438703,0.000438703
16,469.262,0.22068,0.47366,0.7999,0.99696,1,0.995,0.995,0.18471,0.35267,0.80766,0.000367967,0.000367967,0.000367967
17,498.595,0.20717,0.45555,0.78426,0.99532,1,0.995,0.99258,0.19962,0.34515,0.80392,0.000297232,0.000297232,0.000297232
18,527.867,0.19931,0.44754,0.78869,0.99514,1,0.995,0.995,0.19004,0.34235,0.80145,0.000226497,0.000226497,0.000226497
19,556.057,0.18459,0.4424,0.77388,0.99551,1,0.995,0.995,0.19142,0.33861,0.80431,0.000155761,0.000155761,0.000155761
20,585.107,0.18023,0.43448,0.79059,0.99582,1,0.995,0.995,0.17174,0.34175,0.80232,8.50255e-05,8.50255e-05,8.50255e-05
